CORE_CN,STATECD,COUNTYCD,PLOT,FIADB_PLOT,SUBP,TREE,DIA,MEASYEAR,LAT,LON,ELEV,CNT_HT,CNT_LGTH,CNT_X,PITH,RINGCOUNT,VERIFY,REVISIT,INVYR,PLOT_CN,TRE_CN
289861965489998,30,57,312,NA,3,1,12,1997,44.982354,-111.810021,9100,0.5,6.8,1.4,n,227,NA,NA,1989,3064446010690,3064475010690
289861966489998,30,57,313,NA,1,1,10.7,1997,44.982636,-111.769438,8800,3.1,18.6,2.6,n,46,NA,NA,1989,3064506010690,3064516010690
289861967489998,30,57,313,NA,1,2,9.1,1997,44.982636,-111.769438,8800,3,21.4,1.4,n,51,NA,NA,1989,3064506010690,3064517010690
289861970489998,30,57,317,NA,2,2,9.3,1997,44.980428,-111.523345,8800,0.6,8,1.5,n,145,NA,NA,1989,3064565010690,3064582010690
289861971489998,30,57,317,NA,3,10,16,1997,44.980428,-111.523345,8800,0.7,23.3,1.2,n,325,NA,NA,1989,3064565010690,3064597010690
289861978489998,30,57,331,NA,2,9,13.4,1997,44.928584,-111.435436,9600,1.8,18.5,2.1,n,126,NA,NA,1989,3064854010690,3064874010690
289861983489998,30,57,338,NA,4,1,10.5,1997,44.879509,-111.840232,9400,NA,NA,NA,n,113,NA,NA,1989,3065050010690,3065077010690
289861984489998,30,57,338,NA,4,9,10.9,1997,44.879509,-111.840232,9400,1.2,13.7,1.5,n,77,NA,NA,1989,3065050010690,3065085010690
289861991489998,30,57,352,NA,1,4,11.3,1997,44.835902,-111.768749,9000,1.3,13.9,1.4,n,228,NA,NA,1989,3065361010690,3065379010690
289861995489998,30,57,357,NA,3,1,14.8,1997,44.841165,-111.460084,9100,NA,NA,NA,n,246,NA,NA,1989,3065506010690,3065523010690
289861996489998,30,57,357,NA,3,5,3.7,1997,44.841165,-111.460084,9100,NA,NA,NA,y,83,NA,NA,1989,3065506010690,3065527010690
289862007489998,30,57,372,NA,5,3,9.7,1997,44.738633,-111.628522,7600,1.3,13.6,1.7,n,84,NA,NA,1989,3065883010690,3065928010690
289862075489998,30,59,60,NA,2,2,9.9,1996,46.818924,-110.687858,7800,1.1,14.1,1.2,n,97,NA,NA,1989,3067601010690,3067623010690
289862406489998,30,63,16,NA,3,3,9.9,1994,47.500112,-113.598068,6800,NA,NA,NA,n,56,n,y,1989,3076871010690,3076917010690
289862481489998,30,63,72,NA,1,3,15.5,1995,47.145002,-114.38027,6900,0.5,5.7,0.7,n,160,n,y,1989,3078947010690,3078959010690
289862508489998,30,63,110,NA,1,2,8.6,1996,47.04056,-113.956136,7000,0.7,10.2,1.1,n,66,n,n,1989,3080130010690,3080142010690
289862509489998,30,63,110,NA,3,1,8.8,1996,47.04056,-113.956136,7000,0.6,3.8,0.7,n,96,n,y,1989,3080130010690,3080145010690
289862730489998,30,67,174,NA,4,2,14.9,1997,45.3422,-110.291085,8000,3.5,12.6,2.9,n,245,NA,NA,1989,3091520010690,3091584010690
