Year,CN,RW
1938,22T1731,0.05
1939,22T1731,0.04
1940,22T1731,0.08
1941,22T1731,0.15
1942,22T1731,0.24
1943,22T1731,0.36
1944,22T1731,0.7
1945,22T1731,0.43
1946,22T1731,0.48
1947,22T1731,0.46
1948,22T1731,0.57
1949,22T1731,0.46
1950,22T1731,0.58
1951,22T1731,0.45
1952,22T1731,0.4
1953,22T1731,0.43
1954,22T1731,0.34
1955,22T1731,0.45
1956,22T1731,0.34
1957,22T1731,0.38
1958,22T1731,0.28
1959,22T1731,0.38
1960,22T1731,0.3
1961,22T1731,0.38
1962,22T1731,0.26
1963,22T1731,0.35
1964,22T1731,0.29
1965,22T1731,0.43
1966,22T1731,0.37
1967,22T1731,0.38
1968,22T1731,0.33
1969,22T1731,0.4
1970,22T1731,0.28
1971,22T1731,0.27
1972,22T1731,0.4
1973,22T1731,0.36
1974,22T1731,0.3
1975,22T1731,0.29
1976,22T1731,0.28
1977,22T1731,0.33
1978,22T1731,0.38
1979,22T1731,0.34
1980,22T1731,0.36
1981,22T1731,0.42
1982,22T1731,0.54
1983,22T1731,0.53
1984,22T1731,0.42
1985,22T1731,0.23
1986,22T1731,0.28
1987,22T1731,0.41
1988,22T1731,0.49
1989,22T1731,0.22
1990,22T1731,0.21
1991,22T1731,0.23
1992,22T1731,0.22
1993,22T1731,0.3
1994,22T1731,0.33
1995,22T1731,0.41
1996,22T1731,0.39
1997,22T1731,0.48
1998,22T1731,0.48
1999,22T1731,0.5
2000,22T1731,0.38
2001,22T1731,0.29
2002,22T1731,0.3
2003,22T1731,0.41
2004,22T1731,0.22
2005,22T1731,0.51
2006,22T1731,0.28
2007,22T1731,0.26
2008,22T1731,0.3
2009,22T1731,0.26
2010,22T1731,0.26
2011,22T1731,0.43
2012,22T1731,0.37
2013,22T1731,0.65
2014,22T1731,0.71
2015,22T1731,0.51
2016,22T1731,0.58
2017,22T1731,1.03
2018,22T1731,0.66
2019,22T1731,0.85
2020,22T1731,0.72
2021,22T1731,0.47
1824,22T1734,0.45
1825,22T1734,0.54
1826,22T1734,0.94
1827,22T1734,0.77
1828,22T1734,0.51
1829,22T1734,0.63
1830,22T1734,0.94
1831,22T1734,0.92
1832,22T1734,0.42
1833,22T1734,0.58
1834,22T1734,0.42
1835,22T1734,0.58
1836,22T1734,0.67
1837,22T1734,0.4
1838,22T1734,0.34
1839,22T1734,0.23
1840,22T1734,0.3
1841,22T1734,0.31
1842,22T1734,0.45
1843,22T1734,0.37
1844,22T1734,0.38
1845,22T1734,0.41
1846,22T1734,0.49
1847,22T1734,0.54
1848,22T1734,0.69
1849,22T1734,0.68
1850,22T1734,0.68
1851,22T1734,0.63
1852,22T1734,0.54
1853,22T1734,0.85
1854,22T1734,1.02
1855,22T1734,0.95
1856,22T1734,1.19
1857,22T1734,0.9
1858,22T1734,0.74
1859,22T1734,0.67
1860,22T1734,0.84
1861,22T1734,0.75
1862,22T1734,0.54
1863,22T1734,0.59
1864,22T1734,0.53
1865,22T1734,0.52
1866,22T1734,0.54
1867,22T1734,0.48
1868,22T1734,0.49
1869,22T1734,0.41
1870,22T1734,0.38
1871,22T1734,0.53
1872,22T1734,0.5
1873,22T1734,0.57
1874,22T1734,0.47
1875,22T1734,0.48
1876,22T1734,0.41
1877,22T1734,0.49
1878,22T1734,0.57
1879,22T1734,0.57
1880,22T1734,0.63
1881,22T1734,0.79
1882,22T1734,0.54
1883,22T1734,0.39
1884,22T1734,0.37
1885,22T1734,0.5
1886,22T1734,0.43
1887,22T1734,0.47
1888,22T1734,0.65
1889,22T1734,0.61
1890,22T1734,0.65
1891,22T1734,0.58
1892,22T1734,0.57
1893,22T1734,0.47
1894,22T1734,0.48
1895,22T1734,0.52
1896,22T1734,0.41
1897,22T1734,0.39
1898,22T1734,0.3
1899,22T1734,0.23
1900,22T1734,0.29
1901,22T1734,0.32
1902,22T1734,0.42
1903,22T1734,0.44
1904,22T1734,0.48
1905,22T1734,0.31
1906,22T1734,0.21
1907,22T1734,0.28
1908,22T1734,0.26
1909,22T1734,0.3
1910,22T1734,0.39
1911,22T1734,0.47
1912,22T1734,0.44
1913,22T1734,0.34
1914,22T1734,0.39
1915,22T1734,0.29
1916,22T1734,0.3
1917,22T1734,0.27
1918,22T1734,0.28
1919,22T1734,0.24
1920,22T1734,0.34
1921,22T1734,0.34
1922,22T1734,0.4
1923,22T1734,0.43
1924,22T1734,0.42
1925,22T1734,0.45
1926,22T1734,0.41
1927,22T1734,0.51
1928,22T1734,0.55
1929,22T1734,0.4
1930,22T1734,0.35
1931,22T1734,0.36
1932,22T1734,0.43
1933,22T1734,0.35
1934,22T1734,0.25
1935,22T1734,0.23
1936,22T1734,0.22
1937,22T1734,0.24
1938,22T1734,0.29
1939,22T1734,0.31
1940,22T1734,0.43
1941,22T1734,0.52
1942,22T1734,0.52
1943,22T1734,0.57
1944,22T1734,0.56
1945,22T1734,0.69
1946,22T1734,0.66
1947,22T1734,0.75
1948,22T1734,0.8
1949,22T1734,0.82
1950,22T1734,0.77
1951,22T1734,0.45
1952,22T1734,0.76
1953,22T1734,0.77
1954,22T1734,0.68
1955,22T1734,0.84
1956,22T1734,0.69
1957,22T1734,0.82
1958,22T1734,0.67
1959,22T1734,0.71
1960,22T1734,0.64
1961,22T1734,0.55
1962,22T1734,0.76
1963,22T1734,0.57
1964,22T1734,0.58
1965,22T1734,0.71
1966,22T1734,0.69
1967,22T1734,0.69
1968,22T1734,0.73
1969,22T1734,0.62
1970,22T1734,0.64
1971,22T1734,0.68
1972,22T1734,0.6
1973,22T1734,0.66
1974,22T1734,0.53
1975,22T1734,0.62
1976,22T1734,0.49
1977,22T1734,0.47
1978,22T1734,0.38
1979,22T1734,0.36
1980,22T1734,0.35
1981,22T1734,0.54
1982,22T1734,0.43
1983,22T1734,0.63
1984,22T1734,0.56
1985,22T1734,0.67
1986,22T1734,0.54
1987,22T1734,0.77
1988,22T1734,0.58
1989,22T1734,0.49
1990,22T1734,0.34
1991,22T1734,0.44
1992,22T1734,0.38
1993,22T1734,0.44
1994,22T1734,0.51
1995,22T1734,0.4
1996,22T1734,0.36
1997,22T1734,0.31
1998,22T1734,0.38
1999,22T1734,0.6
2000,22T1734,0.45
2001,22T1734,0.46
2002,22T1734,0.34
2003,22T1734,0.55
2004,22T1734,0.29
2005,22T1734,0.33
2006,22T1734,0.37
2007,22T1734,0.3
2008,22T1734,0.34
2009,22T1734,0.32
2010,22T1734,0.28
2011,22T1734,0.32
2012,22T1734,0.41
2013,22T1734,0.36
2014,22T1734,0.4
2015,22T1734,0.36
2016,22T1734,0.34
2017,22T1734,0.38
2018,22T1734,0.4
2019,22T1734,0.47
2020,22T1734,0.32
2021,22T1734,0.45
1849,22T1743,0.83
1850,22T1743,0.97
1851,22T1743,1.16
1852,22T1743,0.98
1853,22T1743,0.9
1854,22T1743,0.97
1855,22T1743,0.89
1856,22T1743,1.03
1857,22T1743,1.05
1858,22T1743,1.02
1859,22T1743,0.96
1860,22T1743,1.15
1861,22T1743,1.14
1862,22T1743,1.07
1863,22T1743,1.09
1864,22T1743,1.11
1865,22T1743,0.71
1866,22T1743,0.89
1867,22T1743,0.94
1868,22T1743,1.07
1869,22T1743,1.11
1870,22T1743,1.16
1871,22T1743,1.09
1872,22T1743,1.07
1873,22T1743,0.68
1874,22T1743,0.78
1875,22T1743,0.88
1876,22T1743,0.79
1877,22T1743,0.69
