TRE_CN,PLT_CN,Year,RW
3060314010690,3060283010690,1992,0.39
3060314010690,3060283010690,1993,0.36
3060314010690,3060283010690,1994,0.23
3060314010690,3060283010690,1995,0.36
3060314010690,3060283010690,1996,0.31
3060314010690,3060283010690,1997,0.29
3062798010690,3062788010690,1946,2.36
3062798010690,3062788010690,1947,2.18
3062798010690,3062788010690,1948,2.13
3062798010690,3062788010690,1949,1.94
3062798010690,3062788010690,1950,2.05
3062798010690,3062788010690,1951,1.5
3062798010690,3062788010690,1952,1.38
3062798010690,3062788010690,1953,1.03
3062798010690,3062788010690,1954,1
3062798010690,3062788010690,1955,1.43
3062798010690,3062788010690,1956,0.82
3062798010690,3062788010690,1957,0.85
3062798010690,3062788010690,1958,1.14
3062798010690,3062788010690,1959,1.42
3062798010690,3062788010690,1960,1.21
3062798010690,3062788010690,1961,1.5
3062798010690,3062788010690,1962,1.56
3062798010690,3062788010690,1963,1.53
3062798010690,3062788010690,1964,1.57
3062798010690,3062788010690,1965,1.93
3062798010690,3062788010690,1966,1.8
3062798010690,3062788010690,1967,2.73
3062798010690,3062788010690,1968,2.06
3062798010690,3062788010690,1969,1.86
3062798010690,3062788010690,1970,2.06
3062798010690,3062788010690,1971,1.84
3062798010690,3062788010690,1972,1.14
3062798010690,3062788010690,1973,1.55
3062798010690,3062788010690,1974,1.07
3062798010690,3062788010690,1975,1.38
3062798010690,3062788010690,1976,1.95
3062798010690,3062788010690,1977,1.58
3062798010690,3062788010690,1978,1.73
3062798010690,3062788010690,1979,1.79
3062798010690,3062788010690,1980,1.84
3062798010690,3062788010690,1981,2.22
3062798010690,3062788010690,1982,1.1
3062798010690,3062788010690,1983,1.48
3062798010690,3062788010690,1984,1.61
3062798010690,3062788010690,1985,1.68
3062798010690,3062788010690,1986,1.34
3062798010690,3062788010690,1987,1.72
3062798010690,3062788010690,1988,1.29
3062798010690,3062788010690,1989,0.81
3062798010690,3062788010690,1990,1.78
3062798010690,3062788010690,1991,1.77
3062798010690,3062788010690,1992,1.66
3062798010690,3062788010690,1993,1.76
3062798010690,3062788010690,1994,1.65
3062798010690,3062788010690,1995,2.93
3062798010690,3062788010690,1996,3.27
3062798010690,3062788010690,1997,2.57
3062820010690,3062802010690,1931,1.21
3062820010690,3062802010690,1932,0.89
3062820010690,3062802010690,1933,1.24
3062820010690,3062802010690,1934,1.5
3062820010690,3062802010690,1935,1.12
3062820010690,3062802010690,1936,0.87
3062820010690,3062802010690,1937,1.05
3062820010690,3062802010690,1938,0.9
3062820010690,3062802010690,1939,1.05
3062820010690,3062802010690,1940,1.41
3062820010690,3062802010690,1941,1.58
3062820010690,3062802010690,1942,1.07
3062820010690,3062802010690,1943,1.18
3062820010690,3062802010690,1944,1.22
3062820010690,3062802010690,1945,1.42
3062820010690,3062802010690,1946,1.18
3062820010690,3062802010690,1947,1.13
3062820010690,3062802010690,1948,1.06
3062820010690,3062802010690,1949,1.22
3062820010690,3062802010690,1950,1.22
3062820010690,3062802010690,1951,1.04
3062820010690,3062802010690,1952,0.98
3062820010690,3062802010690,1953,0.96
3062820010690,3062802010690,1954,1.46
3062820010690,3062802010690,1955,1.18
3062820010690,3062802010690,1956,0.91
3062820010690,3062802010690,1957,1.28
3062820010690,3062802010690,1958,1.15
3062820010690,3062802010690,1959,1.09
3062820010690,3062802010690,1960,1.18
3062820010690,3062802010690,1961,1.45
3062820010690,3062802010690,1962,1.27
3062820010690,3062802010690,1963,1.32
3062820010690,3062802010690,1964,1.21
3062820010690,3062802010690,1965,1.43
3062820010690,3062802010690,1966,1.51
3062820010690,3062802010690,1967,1.65
3062820010690,3062802010690,1968,1.14
3062820010690,3062802010690,1969,1.78
3062820010690,3062802010690,1970,1.57
3062820010690,3062802010690,1971,1.03
3062820010690,3062802010690,1972,1.47
3062820010690,3062802010690,1973,1.27
3062820010690,3062802010690,1974,1.28
3062820010690,3062802010690,1975,1.47
3062820010690,3062802010690,1976,1.23
3062820010690,3062802010690,1977,1.61
3062820010690,3062802010690,1978,1.45
