year,month,tmin,tmax,ppt
1903,3,-12.91627866713727,0.09013934497965949,64.8459590692989
1903,4,-8.485893430279905,4.372098358928181,50.06358199823099
1903,5,-3.9363360634592706,9.083090164622325,78.65508182713242
1903,6,1.7291065589906485,16.472065503480007,53.806574024137916
1903,7,2.8518278772683163,18.166852528931663,57.261680431053286
1903,8,3.02513935123799,19.721204960932496,18.409131128279892
1903,9,-1.0419180364515952,11.585983635949308,50.372303134105245
1903,10,-3.439844264053418,9.749008174802437,45.28427876019086
1903,11,-10.076737681373222,0.9544590158449089,106.26345900238536
1903,12,-11.791229584177987,-2.33060656359694,42.840860812390424
1904,1,-13.549827845370181,-3.960778675171868,66.14108215394565
1904,2,-12.488778696685541,-2.9656967294142875,133.1262877417392
1904,3,-12.23018033387231,-1.3576557330145937,204.55447450231338
