Year,Q8N10,Q9E4A,Q9E7,Q9S1,R9N1,R9N2A,R9N3A,R9N4B,R9N5A,R9N10A,R9E2,R9S2,R9S3,R9W10,R10E3,S9S5,S10N9A,S10N10,S10E3B,S10E9A,S10S3,S10S8,S11Ex1A,T7N4,T8N6,T8E2,T8E4,T8E5,T8E6,T8S2,T9N1,T9N9,T9E5A,T9S5,T9W2B,T9W3A,T10N9,T12N3,T12N6,T12N8,T12E1,T12E4,T12E6,U8N8,U8W8,U11W3,U12N7,U12N10,U12E5,U12W1,W9E10,W10N10,W10S2,W10S10
1945,1.672,0.657,1.27,1.482,1.778,0.974,1.503,1.397,0.699,0.592,1.312,0.804,1.164,1.376,1.42,1.841,1.207,0.593,0.741,0.402,0.868,0.593,1.651,1.799,1.842,0.635,1.376,1.016,2.582,1.186,0.911,1.206,0.868,1.82,3.386,1.714,1.524,0.91,1.122,0.613,0.72,1.948,0.381,1.121,0.973,1.333,0.827,1.612,1.673,0.72,0.699,1.502,0.931,0.847
1946,1.8,0.931,1.016,1.207,1.694,0.932,1.609,1.44,0.55,0.551,1.376,0.932,1.376,1.799,1.081,1.588,1.926,0.804,0.825,0.762,0.931,0.571,1.968,1.926,1.629,0.719,1.207,1.228,2.456,1.143,1.164,1.757,0.847,2.752,3.916,1.821,1.778,1.079,1.143,0.635,0.698,1.926,0.423,1.038,0.868,1.757,1.229,1.266,2.243,0.889,0.804,1.609,1.164,1.058
1947,0.636,1.016,1.228,1.841,2.963,1.015,1.651,1.545,0.381,0.529,1.694,0.868,1.142,1.714,1.146,1.46,1.63,0.677,0.72,0.805,0.91,0.614,1.905,1.588,1.44,0.827,1.227,1.227,2.899,1.016,1.273,1.461,1.164,2.709,3.577,1.799,1.27,0.995,0.614,0.572,0.614,1.714,0.318,0.846,0.868,1.228,1.46,1.352,2.54,0.613,0.678,1.566,1.016,0.847
1948,2.667,0.931,1.27,1.587,3.916,0.974,2.074,1.609,0.423,0.825,1.799,0.973,1.038,1.8,1.674,1.694,1.99,0.995,0.614,0.698,0.868,0.508,1.588,1.757,2.752,0.55,1.059,1.08,2.477,0.783,1.229,1.079,1.736,2.244,4.636,2.286,1.227,0.826,0.445,0.381,0.593,1.842,0.254,1.186,0.91,1.587,1.778,1.04,2.223,0.234,0.698,1.609,1.038,1.164
1949,1.926,0.572,0.846,1.44,2.519,0.699,1.566,1.1,0.529,0.529,1.206,0.805,0.889,1.185,1.566,1.714,1.397,0.614,0.508,0.508,0.846,0.614,1.63,1.884,3.492,0.508,1.227,0.91,2.18,0.55,0.932,0.826,2.032,1.905,3.81,2.35,1.08,0.677,0.444,0.317,0.486,1.651,0.255,0.656,0.678,1.291,1.461,0.89,1.862,0.572,0.635,1.27,1.1,1.058
1950,1.652,0.487,0.911,1.355,1.354,0.656,1.524,0.953,0.403,0.382,1.397,0.783,0.762,1.376,1.82,1.482,1.333,0.762,0.487,0.72,1.059,0.508,1.841,1.354,1.799,0.572,1.27,1.143,2.053,0.593,0.762,1.101,1.206,2.243,4.508,1.904,1.46,0.466,0.572,0.381,0.53,1.545,0.275,0.868,1.037,0.953,1.545,0.888,1.736,0.275,0.55,1.418,2.096,1.059
1951,2.37,0.529,1.185,1.46,3.556,0.656,1.397,1.058,0.551,0.275,1.461,0.719,0.825,1.63,1.143,1.46,1.609,0.974,0.465,0.847,1.227,0.508,1.567,1.566,2.138,0.635,1.63,1.206,2.646,0.698,0.742,1.333,1.27,2.689,4.382,3.345,1.588,0.487,0.698,0.466,0.402,2.371,0.233,1.1,0.994,0.656,1.418,1.076,2.519,0.402,0.466,0.826,1.291,0.571
1952,1.588,0.338,1.185,1.397,3.726,0.466,1.545,1.101,0.487,0.296,0.91,1.122,0.678,1.481,1.164,1.609,1.249,0.762,0.318,0.571,0.826,0.402,1.016,1.461,2.942,0.51,1.122,0.847,2.392,0.868,0.868,0.804,0.699,1.947,4.297,2.921,1.228,0.486,0.381,0.466,0.338,2.095,0.148,0.868,0.551,0.487,0.72,1.662,2.434,0.275,0.508,0.338,0.466,0.995
1953,0.889,0.276,0.974,1.122,4.381,0.613,1.122,0.847,0.698,0.296,0.698,0.614,0.508,1.249,1.165,1.101,1.058,0.55,0.402,0.635,0.847,0.402,0.973,1.524,1.545,0.402,1.397,0.762,2.307,0.805,0.953,0.508,0.592,1.82,2.963,2.095,1.122,0.381,0.212,0.211,0.318,2.963,0.169,0.721,0.825,0.254,0.783,1.514,3.133,0.171,0.445,0.254,0.656,1.334
1954,1.058,0.255,0.804,0.995,4.382,0.635,0.995,1.058,1.037,0.551,0.635,0.699,1.185,1.418,0.825,1.27,1.545,0.698,0.423,0.55,0.719,0.402,1.122,1.947,1.546,0.487,1.376,0.783,2.032,0.91,0.741,0.657,0.699,1.439,3.175,1.63,0.888,0.318,0.169,0.212,0.318,3.091,0.128,0.869,0.953,0.212,0.571,1.74,2.963,0.275,0.592,0.254,1.206,1.227
1955,1.037,0.234,1.059,1.27,3.619,0.339,0.826,1.249,1.059,0.719,0.551,0.762,1.63,1.27,0.72,1.566,1.249,0.614,0.445,0.551,0.783,0.297,1.058,1.99,1.65,0.423,1.206,0.762,1.799,1.037,0.491,1.037,0.783,1.249,3.175,1.715,0.932,0.275,0.148,0.318,0.148,2.476,0.126,0.931,1.122,0.212,0.741,1.952,3.429,0.423,0.572,0.297,1.397,1.334
