Year,Q8N10,Q9E4A,Q9E7,Q9S1,R9N1,R9N2A,R9N3A,R9N4B,R9N5A,R9N10A,R9E2,R9S2,R9S3,R9W10,R10E3,S9S5,S10N9A,S10N10,S10E3B,S10E9A,S10S3,S10S8,S11Ex1A,T7N4,T8N6,T8E2,T8E4,T8E5,T8E6,T8S2,T9N1,T9N9,T9E5A,T9S5,T9W2B,T9W3A,T10N9,T12N3,T12N6,T12N8,T12E1,T12E4,T12E6,U8N8,U8W8,U11W3,U12N7,U12N10,U12E5,U12W1,W9E10,W10N10,W10S2,W10S10
1966,1.651,0.34,0.762,1.037,1.927,0.212,1.969,0.975,0.361,1.122,0.825,1.63,0.698,1.016,0.32,1.333,0.55,0.508,0.677,0.466,1.587,0.319,0.868,2.18,1.143,0.423,1.397,1.016,1.989,3.726,0.783,0.445,1.481,1.249,1.038,1.164,0.593,0.465,0.593,0.465,0.677,1.016,0.444,1.926,1.1,1.291,0.72,1.204,0.297,0.593,0.974,0.614,0.486,0.423
1967,1.397,0.233,0.572,0.89,1.608,0.296,1.46,0.91,0.381,1.101,0.783,1.799,0.446,0.613,0.615,1.312,0.529,0.529,0.34,0.36,1.27,0.254,0.487,1.736,0.91,0.403,1.185,0.804,1.334,2.667,0.678,0.296,1.122,1.291,0.973,0.571,0.72,0.233,0.423,0.212,0.677,0.953,0.339,1.122,0.678,1.101,0.634,1.174,0.232,0.487,0.656,0.677,0.36,0.339
1968,1.651,0.169,0.741,1.058,1.461,0.402,0.572,0.827,0.402,0.699,0.868,1.735,0.487,0.783,0.765,1.143,0.551,0.593,0.234,0.592,1.567,0.255,0.466,1.651,0.783,0.359,0.995,0.995,1.439,2.54,0.592,0.276,1.164,0.91,1.101,0.572,1.015,0.17,0.423,0.191,0.593,0.677,0.254,0.995,0.677,0.677,0.551,0.834,0.191,0.404,0.741,0.593,0.318,0.276
1969,1.333,0.233,0.762,1.249,1.481,0.508,0.487,0.932,0.361,0.656,0.762,2.181,0.529,0.932,0.593,1.376,0.635,0.952,0.275,0.529,1.418,0.318,0.698,2.243,0.995,0.487,1.185,1.206,1.672,2.815,0.53,0.255,1.313,0.995,1.122,0.529,1.355,0.275,0.509,0.338,0.508,0.529,0.275,1.503,0.614,1.08,0.889,1.038,0.275,0.402,0.783,0.656,0.233,0.234
1970,1.419,0.234,0.698,1.016,1.27,0.508,0.19,1.08,0.276,0.868,0.55,1.587,0.297,0.91,0.233,1.27,0.508,0.593,0.339,0.382,1.122,0.298,0.72,2.308,0.656,0.445,1.355,0.805,1.736,2.985,0.423,0.171,1.037,1.248,0.635,0.466,1.312,0.402,0.465,0.339,0.677,0.423,0.339,0.804,0.571,1.418,1.016,1.068,0.361,0.363,1.016,0.571,0.169,0.127
1971,1.312,0.19,0.826,1.164,0.995,0.55,0.191,1.208,0.148,0.826,0.508,1.715,0.319,0.847,0.169,0.932,0.508,0.741,0.234,0.507,1.058,0.297,1.037,2.349,0.677,0.444,1.016,0.614,1.545,2.92,0.529,0.17,1.228,0.953,0.656,0.318,0.932,0.339,0.593,0.381,0.445,0.237,0.233,0.952,0.445,1.206,0.846,0.728,0.254,0.34,1.058,0.657,0.127,0.064
1972,0.698,0.148,0.635,1.164,0.953,0.403,0.19,1.185,0.106,1.186,0.424,1.27,0.423,0.55,0.36,0.719,0.211,0.783,0.253,0.53,0.529,0.233,0.804,1.947,0.445,0.424,0.931,0.613,1.122,2.583,0.381,0.106,0.952,0.635,0.465,0.169,0.571,0.19,0.487,0.317,0.444,0.106,0.275,0.89,0.592,1.567,0.678,0.718,0.169,0.233,0.572,0.508,0.085,0.042
1973,1.355,0.233,0.656,1.164,1.354,0.402,0.17,1.545,0.15,1.63,0.381,1.524,0.275,0.72,0.593,1.249,0.339,1.122,0.255,0.635,0.826,0.338,0.995,2.519,0.318,0.381,1.186,0.572,1.143,2.73,0.423,0.127,1.164,0.868,0.381,0.169,0.657,0.233,0.635,0.657,0.402,0.064,0.297,1.08,0.614,1.1,0.762,0.918,0.191,0.339,0.783,0.846,0.042,0.063
1974,1.249,0.233,0.698,1.249,1.143,0.296,0.19,1.609,0.084,0.995,0.338,1.27,0.191,0.529,0.465,1.228,0.275,0.847,0.255,0.465,0.74,0.254,0.847,1.736,0.297,0.402,0.888,0.531,1.185,1.905,0.36,0.127,0.932,1.037,0.403,0.106,0.444,0.212,0.656,0.677,0.614,0.084,0.424,0.932,0.593,1.122,0.55,0.778,0.19,0.423,0.592,0.72,0.042,0.043
1975,1.143,0.254,0.635,1.185,1.715,0.275,0.233,1.905,0.106,1.143,0.255,1.862,0.254,0.656,0.849,1.799,0.318,0.889,0.19,0.487,1.016,0.233,1.037,1.99,0.254,0.338,1.144,0.487,1.44,1.524,0.318,0.084,0.889,1.207,0.571,0.042,0.296,0.169,0.656,0.508,0.762,0.085,0.74,1.207,1.101,1.038,0.868,0.88,0.127,0.382,0.572,0.762,0.043,0.042
1976,1.228,0.466,0.783,1.164,1.567,0.254,0.382,2.16,0.085,1.376,0.232,2.202,0.275,0.847,0.783,2.117,0.296,0.931,0.233,0.762,1.228,0.445,1.524,1.905,0.276,0.466,1.629,0.572,1.672,0.868,0.36,0.15,1.206,1.248,0.529,0.064,0.318,0.466,0.762,0.741,0.995,0.085,1.016,1.609,1.439,1.037,1.312,1.308,0.043,0.614,0.889,1.016,0.063,0.021
1977,1.164,0.424,0.614,1.292,1.567,0.424,0.508,2.075,0.084,1.841,0.213,2.243,0.36,0.825,0.593,1.862,0.254,0.699,0.275,0.826,1.926,0.635,1.418,3.026,0.148,0.529,1.588,0.719,1.587,0.402,0.381,0.19,1.08,1.418,0.551,0.148,0.317,0.719,0.952,0.698,1.291,0.105,1.524,1.799,1.46,1.206,1.313,1.152,0.042,0.614,0.72,0.995,0.064,0.043
1978,1.82,0.529,0.889,1.27,1.652,0.571,0.529,2.434,0.064,1.926,0.148,2.223,0.402,0.889,0.868,1.715,0.317,0.825,0.36,0.889,2.202,0.614,2.117,2.625,0.15,0.572,1.672,1.016,1.863,0.234,0.529,0.19,0.995,1.524,0.592,0.127,0.275,0.699,1.038,0.741,1.207,0.17,1.313,1.693,1.503,1.08,1.503,1.216,0.085,0.699,0.973,1.1,0.127,0.042
1979,1.693,0.508,0.699,1.354,1.248,0.508,0.55,2.223,0.063,1.651,0.085,2.201,0.466,0.699,1.312,1.46,0.17,0.931,0.402,0.656,2.159,0.465,2.053,2.709,0.148,0.677,1.418,0.931,2.074,0.234,0.508,0.17,0.888,1.292,0.678,0.106,0.254,0.529,1.143,0.572,0.931,0.127,1.143,1.672,1.27,1.058,1.269,1.152,0.084,0.614,0.826,0.868,0.127,0.064
1980,1.44,0.381,0.762,1.651,1.651,0.572,0.742,3.577,0.064,1.799,0.106,2.434,0.466,0.994,0.762,1.821,0.169,0.889,0.487,0.847,2.286,0.656,2.455,2.816,0.17,0.679,1.651,1.186,2.265,0.169,0.677,0.106,1.186,1.566,0.825,0.127,0.233,0.423,1.1,0.508,0.826,0.233,1.333,1.418,1.821,1.079,1.567,0.956,0.043,0.719,0.804,0.741,0.084,0.063
1981,1.227,0.55,0.889,1.545,1.44,0.635,0.72,3.26,0.087,1.461,0.105,2.286,0.403,0.868,0.487,2.074,0.191,0.826,0.444,0.888,2.01,0.551,1.99,2.667,0.148,0.74,1.672,1.249,2.604,0.36,0.635,0.212,1.482,0.868,0.72,0.106,0.275,0.487,1.143,0.614,0.846,0.19,1.334,1.313,1.799,1.207,1.608,0.82,0.042,0.677,0.699,0.699,0.106,0.063
1982,1.059,0.509,0.889,1.207,1.46,0.444,0.783,2.751,0.064,1.587,0.149,2.075,0.425,0.974,0.677,2.265,0.233,0.91,0.487,0.911,1.355,0.55,1.905,1.799,0.318,0.551,1.016,1.1,2.201,0.529,0.72,0.212,1.777,1.354,0.72,0.148,0.318,0.381,1.016,0.634,0.762,0.319,1.375,0.973,1.185,1.143,1.503,0.792,0.042,0.699,0.656,0.825,0.17,0.085
1983,1.037,0.846,0.952,1.651,1.63,0.529,0.804,3.324,0.088,1.588,0.19,2.391,0.402,0.889,0.529,2.54,0.169,0.889,0.403,1.185,1.228,0.466,1.947,2.116,0.171,0.635,0.995,1.418,3.027,0.91,0.614,0.296,2.075,1.99,0.952,0.085,0.36,0.72,1.228,1.249,0.72,0.381,1.334,1.06,1.037,1.947,1.863,0.872,0.085,0.656,0.677,0.741,0.169,0.085
1984,1.334,0.783,0.889,1.799,1.672,0.614,0.932,2.603,0.084,0.762,0.192,1.969,0.423,1.079,0.529,2.519,0.234,1.376,0.381,1.545,1.439,0.465,1.524,1.821,0.211,0.423,1.291,0.847,2.603,1.398,0.592,0.233,2.222,2.455,0.889,0.105,0.381,0.868,1.291,1.207,0.91,0.338,1.143,1.164,1.101,2.053,2.053,0.786,0.127,0.572,0.635,0.804,0.19,0.063
1985,1.46,0.657,0.529,1.588,1.291,0.339,0.846,2.646,0.064,0.72,0.148,1.715,0.34,0.932,0.699,1.291,0.232,0.804,0.17,1.313,1.482,0.636,1.061,1.757,0.127,0.55,1.567,0.91,1.863,1.037,0.529,0.148,1.821,2.117,0.91,0.106,0.381,0.995,1.355,0.931,0.932,0.508,1.207,0.973,0.804,1.8,2.646,0.76,0.106,0.571,0.445,0.699,0.213,0.043
1986,1.312,0.677,0.508,1.545,1.27,0.338,1.037,2.349,0.063,0.783,0.212,1.545,0.424,0.868,0.465,1.862,0.297,0.551,0.296,0.973,1.418,0.465,0.719,1.418,0.127,0.72,1.185,0.783,1.566,0.995,0.487,0.192,2.032,2.011,0.953,0.127,0.466,1.079,1.1,0.783,0.719,0.466,1.164,0.678,1.037,1.27,2.625,0.824,0.169,0.593,0.465,0.868,0.212,0.063
1987,1.609,0.656,0.466,1.884,1.27,0.382,0.826,2.159,0.064,0.91,0.191,2.137,0.296,1.058,0.678,2.16,0.36,0.234,0.296,1.058,1.588,0.572,0.783,1.757,0.129,0.698,1.503,0.932,1.461,0.888,0.53,0.17,2.667,2.498,1.143,0.106,0.465,1.079,1.27,0.995,0.91,0.572,1.143,1.058,1.059,1.122,3.238,0.596,0.191,0.804,0.551,1.079,0.276,0.043
1988,1.482,0.678,0.36,1.799,1.397,0.254,0.635,2.71,0.063,1.482,0.212,1.906,0.213,0.931,1.122,2.518,0.359,0.106,0.191,1.08,1.144,0.571,0.466,2.349,0.064,0.572,1.566,0.656,1.46,1.08,0.444,0.108,2.434,2.307,0.973,0.106,0.466,1.016,0.932,0.741,0.593,0.486,0.973,0.762,1.079,1.079,3.408,0.458,0.232,0.762,0.423,0.91,0.316,0.084
1989,1.227,0.3,0.382,1.333,1.143,0.255,0.487,2.138,0.043,1.185,0.169,1.735,0.234,0.974,0.952,1.99,0.297,0.084,0.169,0.825,1.142,0.487,0.275,1.842,0.084,0.424,0.783,0.445,1.334,0.763,0.36,0.085,1.333,2.138,0.91,0.127,0.445,0.678,0.846,0.741,0.466,0.593,0.784,0.529,0.932,1.228,2.794,0.354,0.17,0.423,0.444,0.741,0.275,0.085
1990,0.805,0.318,0.36,1.27,1.059,0.318,0.571,2.095,0.084,1.249,0.169,1.947,0.234,0.868,1.037,1.863,0.465,0.106,0.254,1.313,1.122,0.55,0.127,1.481,0.064,0.466,0.932,0.465,1.735,2.032,0.55,0.146,1.101,2.138,1.101,0.148,0.445,0.762,1.038,0.91,0.465,0.614,0.931,0.381,0.783,0.762,3.175,0.38,0.211,0.657,0.297,0.805,0.339,0.063
1991,0.719,0.212,0.275,1.059,1.079,0.339,0.551,1.693,0.064,1.122,0.212,1.652,0.297,0.635,1.44,0.804,0.445,0.085,0.255,1.524,1.482,0.678,0.022,1.059,0.129,0.529,0.825,0.593,1.546,1.841,0.635,0.192,1.08,1.375,0.931,0.127,0.508,0.487,1.354,0.762,0.36,0.592,0.762,0.551,0.741,0.635,2.371,0.386,0.149,0.635,0.381,0.74,0.423,0.085
1992,0.868,0.297,0.275,0.91,1.101,0.402,0.762,1.61,0.047,1.439,0.254,1.502,0.36,0.698,1.27,1.27,0.593,0.106,0.297,1.439,1.46,0.613,0.021,1.206,0.063,0.783,1.101,0.677,1.354,2.329,0.614,0.318,1.248,1.694,1.144,0.169,0.444,0.698,1.546,0.804,0.445,0.572,0.889,0.889,0.994,0.614,2.392,0.448,0.211,0.973,0.423,0.868,0.508,0.106
1993,0.783,0.296,0.275,0.508,0.889,0.317,0.55,1.164,0.047,1.037,0.318,1.503,0.466,0.466,0.613,1.164,0.361,0.105,0.255,1.355,1.059,0.551,0.063,0.699,0.022,0.784,1.016,0.741,1.567,1.63,0.466,0.339,1.186,1.121,1.1,0.191,0.487,0.614,1.164,0.783,0.402,0.466,0.529,0.635,0.911,0.38,2.01,0.386,0.17,1.016,0.466,0.593,0.656,0.106
1994,1.143,0.381,0.318,0.847,0.592,0.339,0.508,0.783,0.068,0.783,0.275,1.588,0.466,0.423,1.016,1.08,0.232,0.085,0.191,1.101,1.122,0.783,0.042,0.614,0.021,0.783,1.037,0.677,1.735,2.392,0.424,0.297,1.46,1.397,0.783,0.169,0.423,0.804,1.354,1.059,0.444,0.465,0.381,0.55,0.846,0.277,2.117,0.432,0.296,1.165,0.508,0.572,0.508,0.127
1995,1.186,0.404,0.233,0.508,0.678,0.36,0.572,0.572,0.021,0.635,0.19,1.121,0.191,0.339,0.741,0.995,0.212,0.088,0.19,1.27,0.698,0.613,0.13,0.508,0.021,0.635,1.079,0.678,1.313,1.799,0.444,0.191,0.91,1.588,0.932,0.148,0.297,0.614,1.016,0.952,0.445,0.402,0.402,0.487,0.551,0.529,1.566,0.432,0.169,0.74,0.402,0.444,0.446,0.127
1996,1.122,0.297,0.211,0.657,0.444,0.296,0.423,0.635,0.043,0.403,0.106,1.059,0.063,0.339,0.594,0.91,0.148,0.106,0.17,1.164,0.762,0.593,0.126,0.423,0.021,0.804,0.762,0.55,1.185,1.651,0.297,0.127,0.741,1.461,0.656,0.17,0.169,0.931,1.228,1.249,0.254,0.318,0.402,0.211,0.317,0.592,1.694,0.41,0.191,1.164,0.339,0.36,0.465,0.129
1997,1.291,0.444,0.17,0.635,0.53,0.296,0.55,1.439,0.042,0.402,0.106,1.058,0.064,0.444,0.911,0.318,0.148,0.084,0.19,1.227,0.72,0.593,0.276,0.402,0.021,0.698,0.805,0.699,1.609,0.635,0.423,0.148,0.741,1.185,0.952,0.148,0.148,0.932,1.185,0.953,0.296,0.34,0.445,0.233,0.529,0.784,1.248,0.37,0.148,1.546,0.931,0.338,0.36,0.127
1998,1.82,1.482,0.127,1.333,0.423,0.297,0.635,3.281,0.063,0.635,0.042,2.011,0.047,0.741,1.503,0.55,0.233,0.064,0.171,2.329,1.333,0.762,0.55,0.847,0.022,0.953,1.397,0.634,2.899,1.375,0.445,0.191,0.974,1.376,1.016,0.169,0.212,1.566,1.799,1.249,0.381,0.339,0.91,0.297,0.953,1.312,3.599,0.474,0.169,2.116,1.651,0.36,1.143,0.127
1999,1.587,1.037,0.105,1.439,0.318,0.317,0.424,2.858,0.048,0.465,0.043,1.905,0.068,1.058,0.762,0.403,0.254,0.084,0.19,1.841,1.249,0.783,0.847,0.677,0.021,0.953,1.206,0.741,2.477,1.186,0.381,0.148,1.185,1.206,0.699,0.127,0.275,0.826,1.398,0.91,0.424,0.445,0.91,0.338,0.846,0.974,2.773,0.354,0.127,1.101,1.312,0.297,1.27,0.19
2000,1.673,0.783,0.064,1.863,0.361,0.36,0.444,3.513,0.021,0.699,0.084,1.397,0.042,0.953,0.698,0.36,0.297,0.108,0.169,1.905,1.524,0.656,1.375,0.72,0.021,0.847,1.143,0.762,1.969,0.825,0.359,0.148,1.672,2.138,0.487,0.148,0.339,0.677,1.883,1.185,0.571,0.149,0.953,0.275,1.249,1.46,2.836,0.35,0.043,1.609,1.037,0.254,0.678,0.233
2001,0.973,0.657,0.064,1.736,0.424,0.402,0.698,3.324,0.042,0.741,0.106,1.291,0.042,1.079,0.551,0.55,0.254,0.127,0.171,1.228,1.185,0.551,1.292,0.741,0.021,0.593,1.08,0.657,1.46,0.678,0.381,0.127,1.545,1.757,0.381,0.233,0.36,0.423,1.186,1.08,0.529,0.106,0.889,0.318,0.699,1.503,2.011,0.322,0.021,1.206,1.08,0.381,0.762,0.318
2002,1.101,0.55,0.042,1.841,0.359,0.487,0.636,2.836,0.064,0.402,0.085,1.588,0.048,0.953,0.592,0.338,0.297,0.064,0.127,1.206,1.122,0.656,1.206,0.952,0.021,0.402,1.037,0.677,1.334,0.55,0.614,0.085,1.101,1.397,0.423,0.233,0.486,0.402,0.994,0.952,0.382,0.106,0.613,0.255,0.444,1.164,1.99,0.316,0.042,1.058,1.101,0.169,0.762,0.318
2003,2.011,0.656,0.042,1.905,0.381,0.529,0.762,4.402,0.021,0.487,0.127,2.54,0.047,0.868,0.784,0.254,0.381,0.169,0.213,1.44,1.164,0.804,1.08,1.249,0.021,0.593,0.931,0.698,1.545,0.529,0.932,0.148,1.185,1.545,0.445,0.254,0.826,0.487,1.715,0.868,0.402,0.084,0.741,0.402,0.381,1.418,2.349,0.392,0.021,1.355,1.439,0.148,0.91,0.402
2004,2.116,0.762,0.042,1.228,0.297,0.551,1.079,4.234,0.042,0.529,0.127,2.709,0.047,0.952,1.016,0.276,0.36,0.171,0.232,1.968,1.292,0.762,1.079,1.291,0.043,0.359,1.376,0.614,1.947,0.424,0.931,0.127,1.313,1.799,0.402,0.213,0.804,0.487,2.011,1.185,0.53,0.127,0.889,0.339,0.402,1.842,2.18,0.402,0.021,1.693,1.058,0.085,0.91,0.466
2005,2.223,1.334,0.127,1.101,0.359,1.016,1.418,2.942,0.03,0.444,0.211,3.641,0.043,0.931,0.931,0.105,0.465,0.254,0.254,1.101,2.032,0.656,1.63,1.736,0.042,0.487,1.63,0.677,2.138,0.508,1.058,0.148,1.27,1.715,0.338,0.233,0.593,0.466,2.053,1.101,0.486,0.127,0.974,0.465,0.508,2.349,2.604,0.404,0.022,1.863,1.588,0.169,0.889,0.656
2006,2.053,1.121,0.17,3.259,0.551,1.016,1.418,1.714,0.043,0.424,0.381,3.598,0.169,1.165,1.016,0.233,0.508,0.339,0.192,1.037,2.624,0.699,2.18,2.053,0.021,0.699,1.461,0.678,1.82,0.783,1.482,0.127,1.566,1.862,0.466,0.232,0.699,0.423,1.905,0.868,0.783,0.17,0.974,0.551,0.551,2.202,2.053,0.438,0.021,1.63,1.185,0.191,0.91,0.698
2007,2.011,1.757,0.276,5.229,0.465,1.037,1.503,2.075,0.042,0.318,0.297,3.408,0.212,1.143,0.995,0.169,0.487,0.424,0.169,2.074,2.202,0.698,2.688,2.053,0.064,1.249,1.947,0.868,2.244,1.248,1.482,0.085,1.672,1.397,0.444,0.17,0.36,0.677,1.778,1.248,0.741,0.148,1.079,0.741,0.847,2.349,2.242,0.458,0.042,1.82,1.482,0.19,0.593,0.826
2008,2.117,1.503,0.36,4.148,0.508,0.952,1.08,1.884,0.021,0.445,0.508,2.413,0.232,1.079,0.889,0.192,0.402,0.36,0.212,1.99,2.222,0.804,2.604,2.159,0.021,0.656,1.439,0.762,1.884,1.271,1.587,0.042,1.736,1.059,0.424,0.148,0.192,0.657,1.609,1.101,0.466,0.149,0.847,0.994,1.121,1.863,2.18,0.44,0.042,1.567,1.418,0.212,0.444,0.783
2009,2.646,2.159,0.487,3.768,0.466,0.847,1.354,1.693,0.021,0.338,0.465,3.09,0.34,1.524,1.164,0.19,0.508,0.339,0.275,2.074,3.09,0.403,3.831,2.858,0.084,0.868,1.524,0.698,2.18,1.291,1.504,0.042,2.138,1.693,0.317,0.317,0.233,0.995,1.63,1.355,0.275,0.148,1.27,1.313,1.265,1.989,2.73,0.502,0.064,2.942,1.376,0.233,0.254,0.72
2010,1.883,1.27,0.423,2.18,0.402,0.974,1.122,1.228,0.022,0.171,0.529,1.905,0.403,1.143,0.974,0.17,0.403,0.381,0.276,1.567,2.71,0.529,2.179,1.502,0.088,1.227,1.143,0.508,1.672,1.121,1.566,0.022,1.545,1.355,0.212,0.234,0.127,0.804,1.524,0.847,0.275,0.106,1.397,0.995,0.402,1.228,2.053,0.464,0.085,2.688,0.677,0.148,0.316,0.762
2011,2.329,0.91,0.529,2.773,0.614,1.27,1.482,1.481,0.042,0.149,0.53,1.567,0.487,1.122,0.381,0.233,0.593,0.466,0.508,1.629,2.815,0.529,2.604,1.376,0.169,0.953,1.418,0.72,2.201,1.228,1.439,0.042,1.122,1.376,0.233,0.254,0.232,0.698,1.566,1.079,0.403,0.085,1.524,0.931,0.382,1.207,1.715,0.716,0.105,3.069,1.82,0.169,0.276,0.783
2012,2.476,1.335,0.931,3.789,0.445,1.545,1.46,1.503,0.042,0.127,0.592,2.497,0.679,1.757,0.74,0.19,0.699,0.508,0.677,2.646,3.344,1.143,3.069,1.588,0.234,1.354,2.18,1.312,2.18,1.63,2.265,0.042,1.756,1.502,0.254,0.212,0.36,1.207,1.799,1.185,0.359,0.084,1.693,1.185,0.254,1.248,1.778,0.736,0.085,2.498,2.921,0.17,0.211,0.952
2013,2.032,1.418,1.186,3.323,0.529,1.397,1.821,1.312,0.047,0.063,0.656,1.947,0.74,1.545,1.165,0.254,0.656,0.381,0.699,2.434,3.091,1.587,3.535,0.995,0.318,1.165,1.969,1.207,2.731,1.884,1.609,0.042,1.165,1.461,0.127,0.317,0.339,0.91,1.376,0.953,0.318,0.127,1.63,1.292,0.361,1.228,1.651,0.57,0.106,1.608,1.863,0.19,0.34,1.059
2014,2.011,1.037,1.354,3.302,0.571,1.291,1.608,1.038,0.043,0.043,0.868,2.477,0.87,1.143,1.248,0.212,0.762,0.529,0.783,1.673,2.032,1.694,1.99,0.867,0.339,1.208,1.651,1.058,2.476,1.735,1.883,0.022,1.206,0.889,0.106,0.276,0.275,0.593,0.761,1.016,0.19,0.064,1.185,0.888,0.402,0.995,1.143,0.61,0.106,0.995,1.44,0.106,0.084,0.995
2015,2.688,1.397,1.271,3.196,0.466,1.439,1.99,1.291,0.03,0.047,0.847,2.498,0.91,1.482,1.588,0.19,0.698,0.508,0.677,1.757,2.349,2.222,2.393,1.228,0.444,0.959,1.165,0.889,1.99,1.483,2.181,0.021,1.842,1.228,0.105,0.254,0.36,0.698,0.931,1.1,0.212,0.042,0.995,1.144,0.127,1.482,1.524,0.582,0.127,1.038,1.396,0.211,0.064,1.142
2016,2.307,1.439,1.208,2.053,0.571,1.462,2.011,0.762,0.047,0.021,0.889,1.883,0.911,0.994,1.947,0.191,0.508,0.762,0.636,2.204,1.759,1.969,3.41,0.889,0.466,1.016,0.91,0.933,1.863,1.314,2.497,0.059,1.82,0.804,0.171,0.212,0.466,0.762,0.741,1.143,0.19,0.088,0.656,0.825,0.234,1.714,1.439,0.482,0.084,0.825,1.165,0.233,0.064,1.143
