Year,E13A1,E13A2,E16N3B,E16N4,E16N7A,E16E7,E16ExA,E16S8,F16S6A,G12N9B,G12W5,G12W7,G13E6B,G13E1,G14N10,G14S8,G15E9A,H11N2,H11N3A,H11N5,H11S9,H11W1,H11W2,H11W3,H11W4,H11W7,H12E2B,H12S1A,H13N3,H15N9,H15N10A,H15S2,H15W9,H151B,I11S8A,I11S10,I12W6,I12E1B,I13S5,I13W9,I13E6A,J11S2,J12N2,J12W9,J13E5,J14E3,K11S8A,K11S8A1,K13E6,K14N2A,K14N21,K14Ex1,K14Ex3,L13N7,L13S2,L13S3,L13S6,L13W10
1962,0.738,1.024,0.563,0.572,1.135,0.921,0.698,0.961,0.603,0.778,1.122,0.707,1.73,0.564,1.059,1.503,0.5,0.889,0.976,1.103,0.545,0.413,0.579,0.992,1.053,0.666,1.254,2.246,0.609,1.453,0.857,0.72,0.952,2.325,0.683,1.524,1.143,NA,1.088,1.667,1.256,1.413,1.945,2.709,1.493,0.677,0.722,0.677,NA,1.048,0.874,1.08,0.786,0.985,0.437,2.009,0.889,1.731
1963,0.897,1.334,0.643,0.69,1.207,0.992,0.868,1.206,0.612,0.436,1.079,0.619,1.802,0.81,0.91,2.159,1.19,0.523,1.009,0.778,0.339,0.497,0.5,1.04,0.791,0.929,1.406,2.714,0.883,1.398,1.095,0.423,0.755,2.016,0.77,1.376,1.191,NA,1.246,1.294,0.406,1.278,1.913,2.837,1.635,0.847,0.968,0.741,NA,0.238,0.801,1.047,0.706,0.793,0.5,1.849,0.91,1.651
1964,0.936,1.175,0.905,0.842,1.571,0.969,1.168,1.35,0.627,0.421,0.847,0.452,1.69,0.897,0.868,2.222,0.897,0.691,1.151,0.675,0.444,0.699,0.746,1.048,1.095,0.889,1.286,2.358,0.916,1.603,0.865,0.106,0.73,1.588,0.873,0.974,0.992,NA,1.08,0.817,1.001,1.079,1.873,2.857,1.46,1.037,1.048,0.931,NA,0.191,0.254,1.54,1.247,0.913,0.944,2.278,1.461,1.675
1965,1.159,1.921,0.834,0.754,1.516,1.135,1.006,1.214,0.523,0.603,0.973,0.27,2.096,2.144,1.333,2.159,0.572,0.802,1.674,1.206,0.683,0.703,0.889,1.206,1.001,0.73,1.326,3.389,1.719,1.478,1.009,0.127,1.254,2.191,0.564,1.016,1.111,NA,1.667,0.762,0.5,1.429,2.643,2.921,1.437,0.424,1.429,1.08,NA,0.119,0.328,1.612,1.127,1.413,1.913,2.564,1.799,1.563
1966,1.413,1.176,0.881,1.024,1.239,1.143,0.858,1.294,0.977,0.778,0.805,0.246,2.167,0.978,1.335,1.651,1.048,0.801,2.58,1.302,0.847,0.868,1.159,0.953,0.889,0.667,1.579,2.072,1.678,1,1.166,0.106,1.333,2.278,1.079,0.91,1.111,NA,1.993,0.59,0.801,1.484,2.508,2.731,1.706,0.953,1.238,1.227,NA,0.293,0.516,1.841,1.944,1.413,1.127,2.278,1.312,2.08
1967,0.929,1.517,0.706,1.039,0.96,0.984,0.502,1.095,1.262,0.746,0.995,0.175,1.341,0.944,0.973,2.053,0.762,1.096,1.214,1.167,0.889,0.879,0.722,0.946,1.651,0.524,0.961,2.476,1.042,1,1.024,0.106,0.866,1.992,0.699,0.932,0.985,NA,1.588,0.333,0.873,1.064,1.889,2.286,1.532,0.91,0.96,1.059,NA,0.786,0.405,1.23,1.509,0.667,1.072,1.786,1.524,1.762
1968,0.905,0.992,0.627,0.699,0.873,0.929,0.706,1.096,1.254,0.953,1.017,0.135,1.048,1.016,0.826,1.673,0.976,0.865,1.651,0.809,0.762,0.534,0.778,1.351,2.008,0.849,1.413,2.509,0.768,1.207,0.921,0.063,0.547,1.572,0.277,0.91,0.849,NA,0.865,0.095,0.747,0.936,1.89,3.344,1.508,1.016,0.747,0.783,NA,1.088,0.507,0.945,1.341,0.658,0.897,1.826,1.355,2.072
1969,1.928,0.85,0.619,0.794,1.167,1.23,0.816,1.444,1.468,1.238,1.355,0.135,3.27,1.318,0.635,2.434,0.817,1.476,1.191,1.437,0.762,0.751,0.794,1.111,1.894,0.778,1.714,2.508,1.37,0.969,1.214,0.042,0.683,2.119,0.54,1.185,0.849,NA,2.129,0.175,0.643,1.167,2.286,3.344,1.516,1.545,1.19,0.952,NA,1.603,0.508,1.595,1.873,0.469,0.619,1.436,1.227,2.603
1970,1.85,0.921,0.818,0.674,1.492,1.04,0.552,1.032,0.985,1.254,1.482,0.079,2.953,1.063,0.805,1.757,1.064,1.469,1.254,1.46,0.508,0.773,0.762,0.921,1.223,0.802,1.508,2.73,1.455,1.112,1.12,0.043,0.238,1.587,0.437,0.847,0.984,NA,2.317,0.095,0.698,1.413,1.952,2.837,1.318,1.291,1.103,0.995,NA,1.302,0.381,1.755,1.302,0.524,0.699,1.342,0.868,2.85
1971,2.349,1.43,0.802,0.723,1.175,0.944,0.588,0.635,1.032,0.683,1.079,0.065,1.913,0.77,1.06,0.529,0.905,0.96,0.826,1.453,0.545,0.762,0.524,0.54,1.555,0.397,1.008,1.715,1.731,1.569,1.079,0.063,0.659,1.54,0.27,0.994,0.913,NA,2.326,0.087,0.905,1.342,2.437,2.391,1.484,1.08,0.937,1.037,NA,1.968,0.572,1.73,1.318,0.69,1.095,2.167,1.419,2.516
