Year,E13A1,E13A2,E16N3B,E16N4,E16N7A,E16E7,E16ExA,E16S8,F16S6A,G12N9B,G12W5,G12W7,G13E6B,G13E1,G14N10,G14S8,G15E9A,H11N2,H11N3A,H11N5,H11S9,H11W1,H11W2,H11W3,H11W4,H11W7,H12E2B,H12S1A,H13N3,H15N9,H15N10A,H15S2,H15W9,H151B,I11S8A,I11S10,I12W6,I12E1B,I13S5,I13W9,I13E6A,J11S2,J12N2,J12W9,J13E5,J14E3,K11S8A,K11S8A1,K13E6,K14N2A,K14N21,K14Ex1,K14Ex3,L13N7,L13S2,L13S3,L13S6,L13W10
1929,1.977,NA,0.992,1.135,1.183,1.421,0.988,NA,1.096,1.937,0.181,1.73,NA,NA,1.524,0.995,1.588,0.651,0.431,0.825,NA,0.878,1.151,1.532,NA,0.659,NA,NA,NA,NA,NA,1.376,2.207,2.214,1.008,0.932,NA,NA,1.682,2.421,1.405,1.143,1.89,NA,0.928,1.99,0.932,NA,NA,0.657,1.024,2.675,NA,NA,NA,NA,0.839,NA
1930,1.93,NA,0.937,1.175,1.135,1.682,0.794,NA,1.127,1.317,0.797,1.77,NA,NA,1.715,0.741,2.627,0.374,0.465,0.818,NA,0.773,0.786,0.969,NA,0.564,NA,NA,NA,NA,NA,1.376,2.159,2.675,1.174,1.058,NA,NA,1.54,2.548,1.809,0.849,1.984,NA,1.826,2.265,1.088,NA,NA,0.581,0.826,2.111,NA,NA,NA,NA,1.059,NA
1931,1.73,NA,1.111,1.587,1.286,1.429,0.79,NA,0.913,1.183,1.097,1.207,NA,NA,1.419,0.952,1.683,0.602,0.498,0.881,NA,0.83,0.738,1.214,NA,0.341,NA,NA,NA,NA,NA,1.545,2.032,3.144,0.937,1.122,1.845,NA,1.564,2.246,1.485,0.977,1.897,NA,1.532,1.82,0.96,NA,NA,0.518,0.762,1.842,NA,NA,NA,NA,1.081,NA
1932,1.619,NA,0.905,0.905,1.127,1.405,0.774,1.003,0.674,0.984,0.793,1.159,NA,NA,1.546,0.593,1.039,0.504,0.437,0.905,NA,0.773,0.746,0.938,NA,0.301,NA,NA,NA,NA,NA,1.439,1.778,2.135,1.087,1.037,0.897,NA,1.437,2.072,1.278,0.841,1.508,NA,1.024,1.588,0.818,1.596,NA,0.826,0.952,1.246,NA,NA,NA,NA,1.038,NA
1933,1.755,NA,0.818,0.603,1.349,1.381,0.71,0.797,0.834,0.945,1.022,1.516,NA,NA,1.186,1.185,1.016,0.452,0.501,1.032,NA,0.603,0.548,0.834,NA,0.413,NA,NA,NA,NA,0.871,1.376,2.159,2.77,0.778,0.826,0.925,NA,1.833,2.357,1.198,0.85,1.961,NA,0.936,1.651,0.833,1.56,NA,0.961,0.81,1.445,1.474,0.344,NA,NA,0.762,NA
1934,2.206,NA,1.008,0.707,1.477,1.707,0.848,1.399,1.048,0.659,0.79,1.429,NA,NA,1.185,1.545,0.596,0.454,0.42,1.071,NA,0.614,0.81,1.072,NA,0.532,NA,NA,NA,NA,1.313,1.863,2.603,3.691,0.881,1.016,1.597,NA,2.12,2.644,1.238,0.841,2.73,NA,1.001,1.778,1.564,2.031,NA,1.262,0.571,1.881,1.293,0.262,0.335,NA,0.762,NA
1935,2.111,NA,1.174,0.627,1.341,1.238,0.788,1.905,1.047,1.222,0.974,1.381,NA,NA,1.228,0.765,0.809,0.463,0.405,1.254,NA,0.688,0.873,0.938,NA,0.365,NA,NA,NA,NA,1.365,1.524,1.802,2.58,1.072,1.058,0.65,NA,1.865,2.159,1.493,0.571,2.405,NA,1.563,2.265,0.778,2.45,NA,1.262,0.342,2.921,1.12,0.279,0.361,NA,0.848,NA
1936,1.921,NA,1.024,0.69,1.413,1.206,0.726,1.35,0.985,1.231,1.08,1.127,NA,NA,1.314,1.334,1.374,0.729,0.556,1.54,NA,0.714,0.643,0.944,NA,0.659,NA,NA,1.397,NA,1.325,1.312,1.992,3.111,1.024,0.91,0.81,NA,1.937,1.913,1.428,0.858,2.477,NA,0.953,2.307,0.778,1.758,NA,1.286,0.651,2.365,1.008,0.37,0.352,NA,0.677,NA
1937,2.137,NA,0.921,0.85,1.81,1.199,0.872,1.056,0.968,1.365,1.227,1.087,NA,NA,1.207,1.038,1.92,0.672,0.611,1.508,NA,1.059,0.563,0.874,NA,0.714,NA,NA,1.327,NA,2.114,1.355,1.929,2.191,0.921,1.164,0.924,NA,1.428,1.976,1.691,1.238,2.73,NA,1.413,2.836,0.786,1.418,NA,1.484,0.833,2.199,1.238,0.314,0.51,NA,1.017,NA
1938,2.317,NA,0.794,0.889,1.667,1.302,0.766,1.429,1.119,1.635,1.291,1.001,NA,NA,1.376,1.312,1.628,0.858,0.095,0.723,NA,0.831,0.494,0.929,NA,0.373,NA,NA,1.517,NA,1.482,1.778,2.08,2.453,1.357,1.588,1.413,NA,1.58,2.278,1.858,1.373,2.477,NA,1.746,2.71,1.087,1.693,NA,1.159,0.865,2.389,0.952,0.237,0.831,NA,1.483,NA
1939,2.461,NA,0.825,0.714,1.643,1.095,0.968,1.19,1.016,1.818,1.524,1.524,1.301,NA,2.308,1.397,1.333,0.911,0.135,0.255,1.876,0.735,0.755,0.746,NA,0.318,NA,NA,1.772,NA,1.619,1.989,2.024,3.071,1.095,1.481,1.468,NA,1.746,1.73,1.944,1.802,3.214,NA,2.238,2.412,1.238,1.63,NA,1.58,1.175,2.04,1.262,0.79,0.487,NA,1.333,NA
1940,2.421,NA,0.834,0.659,1.428,0.992,0.77,1.445,0.818,1.976,1.143,2.262,0.949,NA,2.243,1.778,1.524,1.223,0.297,0.77,2.171,0.64,0.928,0.922,NA,0.897,NA,NA,1.788,NA,1.294,2.054,1.841,2.691,0.85,1.524,1.477,NA,1.929,1.532,2.175,1.278,2.675,NA,1.866,2.265,1.04,1.334,NA,1.659,1.056,2.389,1.04,0.716,0.28,NA,1.397,NA
1941,2.921,NA,1,0.77,1.58,1.175,1.108,1.953,1.214,2.127,1.313,1.873,1.712,NA,2.371,2.456,2.104,1.71,0.262,0.976,2.329,0.879,0.802,1.525,NA,1.302,NA,NA,1.725,NA,1.262,2.243,2.255,4.326,1.222,1.736,1.773,NA,1.873,2.017,2.477,1.881,3.263,NA,1.809,2.583,1.429,1.524,NA,1.698,0.841,3.58,1.381,0.814,0.497,NA,1.757,NA
1942,2.365,NA,0.984,0.849,1.135,1.064,0.874,1.365,1.08,2.302,1.206,1.111,1.089,NA,1.228,2.01,1.643,1.037,0.214,0.786,2.46,0.979,0.778,1.341,NA,0.984,NA,4.089,1.556,NA,1.159,1.672,1.928,3.397,1.651,1.609,1.835,NA,1.397,1.444,2.222,1.54,3.127,NA,1.326,1.968,0.968,0.91,NA,1.691,1.294,2.659,0.985,0.922,0.508,NA,1.566,NA
1943,2.072,0.705,0.881,0.913,0.937,0.881,0.908,1.167,1.119,1.564,1.228,0.683,1.087,NA,1.397,1.778,0.92,1.113,0.207,0.794,3.504,0.661,0.548,0.945,NA,0.746,NA,2.868,1.461,NA,0.96,1.291,1.842,3.199,1.857,1.672,1.54,NA,1.35,1.619,1.667,1.317,2.453,NA,1.183,1.926,0.81,0.783,NA,1.754,0.754,2.143,0.801,1.077,0.582,NA,1.418,NA
1944,2.27,0.795,0.81,1.476,0.873,0.801,1.146,1.421,1.317,1.206,1.566,0.889,1.945,NA,2.222,1.355,1.12,1.318,0.143,0.539,2.164,0.365,0.492,1.23,NA,1.032,NA,3.865,1.73,NA,1.866,2.011,2.31,4.191,1.929,1.228,2.088,NA,1.936,1.969,2.341,1.366,3.349,NA,1.381,1.926,0.825,0.953,NA,2.508,0.802,2.246,1.588,1.065,0.402,NA,1.736,NA
1945,2.85,0.77,0.881,0.913,0.778,0.937,0.736,1.293,1.199,1.643,1.186,0.881,1.42,NA,1.672,1.969,0.96,1.111,0.39,0.826,1.757,0.757,0.73,1.254,NA,0.786,NA,4.407,1.36,NA,1.436,1.63,2.04,3.945,1.151,1.799,2.175,NA,1.953,2.357,2.477,1.341,3.382,NA,1.548,1.884,0.985,1.1,NA,2.683,1.397,2.183,1.532,0.872,0.207,NA,1.588,NA
1946,3.389,0.887,0.794,0.874,0.754,1.04,0.84,1.485,1.119,1.524,1.227,0.762,2.39,NA,1.948,2.37,1.135,1,0.627,1.556,2.091,0.984,1.024,1.239,1.557,0.658,NA,3.74,1.407,NA,1.413,2.413,2.175,4.064,1.032,1.736,1.929,NA,1.778,1.731,2.199,1.564,2.952,NA,1.563,2.096,1.111,1.016,NA,2.786,1.198,2.397,1.254,0.942,0.49,NA,1.968,1.489
1947,3,0.679,0.889,0.778,0.682,0.984,0.782,1.143,0.841,1.945,0.804,0.603,2.333,1.178,1.905,3.599,1.159,1.199,0.812,1.087,1.958,0.736,1.119,1.071,1.658,0.604,3.608,4.048,1.403,NA,1.127,2.371,2.421,3.913,0.889,2.942,1.722,NA,1.373,1.674,1.905,1.691,2.644,NA,1.683,2.328,0.968,1.165,NA,2.762,1.143,2.882,1.532,1.317,0.35,NA,2.032,1.209
1948,3.429,0.953,0.984,0.929,1.143,0.929,0.752,1,0.691,1.659,1.125,0.476,2.477,0.699,1.693,3.557,1.246,1.15,1.024,0.548,1.425,0.598,1.04,0.794,1.74,0.492,2.888,3.294,1.63,NA,1.373,2.095,2.444,3.993,0.968,1.989,1.635,NA,1.604,1.382,1.801,1.531,2.024,NA,1.373,2.202,1.127,0.994,NA,2.294,1.723,2.683,2.214,0.957,0.412,NA,1.715,0.881
1949,2.715,0.63,1.071,0.77,2.167,1.063,0.668,0.936,0.929,1.595,0.699,0.429,1.206,0.724,1.651,2.456,1.008,0.072,1.04,0.793,1.345,0.317,0.873,0.302,1.146,0.309,2.392,2.905,1.275,NA,0.969,1.8,1.691,3.072,0.31,1.609,1.254,NA,1.682,1.42,1.437,0.723,1.921,NA,1.135,1.418,0.627,0.466,NA,1.826,1.778,2.365,1.572,0.265,0.393,NA,0.698,0.809
1950,2.405,0.889,0.794,0.286,1.254,0.937,0.704,0.278,0.778,1.651,0.55,0.357,1.088,0.77,1.27,1.757,0.699,0.119,0.746,0.699,0.656,0.54,0.509,0.301,0.995,0.207,1.035,2.485,0.926,NA,0.682,1.333,1.968,2.111,0.222,2.159,1.31,NA,1.135,1.247,1.254,0.714,1.659,NA,1.088,1.333,0.493,0.572,NA,1.596,0.825,2.127,1.611,0.186,0.614,NA,1.101,0.797
1951,2.945,0.92,0.73,0.277,0.731,1.175,0.842,0.635,0.523,1.08,0.593,0.222,1.325,0.683,1.651,1.672,0.627,0.16,0.166,0.619,0.434,0.376,0.587,0.31,1.429,0.246,1.238,2.698,1.307,1.881,0.81,1.968,2.001,2.429,0.199,2.053,1.405,NA,1.85,1.325,1.469,0.778,1.373,NA,1.158,1.757,0.531,0.613,NA,1.627,0.738,2.016,1.675,0.184,0.698,NA,1.037,0.584
1952,2.762,0.683,0.961,0.477,0.619,1.365,0.732,0.715,0.342,1.048,0.719,0.286,0.858,0.729,1.397,2.413,0.706,0.293,0.405,0.588,0.804,0.254,0.865,0.476,0.166,0.357,1.643,3.064,1.296,1.975,0.897,2.202,2.286,2.024,0.317,2.286,1.516,NA,2.08,1.35,1.23,0.81,1.373,2.279,1.382,1.587,0.564,0.551,NA,1.857,0.826,2.183,2.254,0.214,0.476,NA,0.593,0.511
1953,1.945,0.786,0.722,0.587,0.532,1.405,0.438,0.714,0.651,1.135,0.763,0.135,0.404,0.595,1.27,2.222,0.667,0.381,0.516,0.825,0.482,0.259,0.834,0.341,0.249,0.238,1.326,3.12,0.958,1.232,0.683,1.905,1.873,2.048,0.31,1.503,1.167,NA,0.928,0.762,1.135,0.809,2,2.849,1.095,1.355,0.548,0.698,NA,1.437,0.841,1.969,1.62,0.508,0.754,NA,0.804,1
1954,2.302,1,0.881,0.541,0.468,1.095,0.572,0.992,0.738,1,0.723,0.214,0.77,0.961,1.82,2.477,1.048,0.342,0.659,0.643,0.651,0.228,0.619,0.413,0.245,0.167,1.508,2.825,1.006,1.428,0.635,2.159,2.23,2.341,0.404,1.249,1.516,NA,0.786,1.262,1.27,0.881,1.627,3.05,1.5,1.397,0.744,1.037,NA,2,1.373,1.674,1.54,0.611,0.485,NA,1.334,1.143
1955,2.69,1.08,1,0.603,0.746,1.223,0.586,1.191,1.246,1,0.868,0.191,1.437,0.889,2.202,2.18,1.143,0.484,0.571,0.818,1.047,0.301,0.833,0.627,0.345,0.174,1.881,2.437,1.375,1.565,0.777,2.54,1.897,3.183,0.469,0.783,1.167,NA,0.73,1.42,1.707,1.159,2.374,2.738,2.207,1.651,0.841,1.42,NA,2.405,1.945,2.675,2.333,0.722,0.509,NA,1.037,0.968
1956,1.89,1.071,0.858,0.603,0.786,1.413,0.522,0.674,0.762,0.992,0.572,0.214,1.032,0.404,1.545,3.26,0.659,0.484,0.596,0.769,0.731,0.365,0.437,0.469,0.852,0.151,1.167,1.477,1.064,1.247,0.755,2.328,2.247,2.334,1.19,0.741,0.873,NA,1.485,0.834,1.206,0.873,2.238,2.801,2.032,1.143,0.683,1.989,NA,1.976,1.421,2.096,1.699,0.477,0.39,1.614,1.354,0.683
1957,1.73,0.968,0.762,0.643,0.905,1.524,0.69,0.874,0.643,1.096,0.783,0.151,1.897,0.501,0.995,3.789,0.611,0.508,0.428,0.699,0.815,0.276,0.476,0.47,0.703,0.159,0.936,3.095,1.254,0.945,0.952,2.54,1.857,2.342,1.326,0.762,0.801,NA,1.524,1.214,1.961,1.032,2.08,2.752,2.389,1.418,0.595,2.053,NA,1.906,1.23,3.008,2.222,0.468,0.509,2.32,1.165,0.825
1958,1.699,1.143,0.896,0.573,0.873,1.508,0.684,0.817,0.548,0.928,0.973,0.159,1.833,0.564,0.594,3.979,0.714,0.81,1.096,0.754,1.026,0.381,0.397,0.611,0.509,0.294,1.54,3.993,1.286,1.223,1.008,2.942,1.889,2.778,0.992,0.91,0.818,NA,1.484,1.04,2.238,1.461,1.905,2.667,1.635,1.08,0.714,1.863,NA,2.024,1.286,2.556,2.008,0.405,0.516,2.857,0.867,1.096
1959,0.833,0.731,0.405,0.4,0.889,1.381,0.732,0.881,0.444,0.532,0.784,0.182,1.12,0.603,0.72,3.196,0.826,0.714,1.349,0.96,0.688,0.365,0.302,0.635,0.133,0.317,0.992,2.738,1.18,1.27,0.882,1.863,1.493,1.849,0.691,0.868,0.857,NA,1.738,0.937,1.889,1.555,1.897,2.858,1.548,0.846,0.707,1.164,NA,1.905,1.191,2.215,1.366,0.555,1.231,2.255,0.995,1.063
1960,1.056,0.865,0.492,0.317,1.087,1.571,0.838,0.977,0.508,0.151,0.783,0.294,1.151,0.676,0.974,2.985,0.817,0.707,0.969,1.12,0.747,0.328,0.508,1.096,0.529,0.357,1.167,3.302,0.921,0.961,1.111,0.952,1.404,1.659,0.794,1.418,1.056,NA,2.217,1.468,2.016,1.517,1.643,2.561,1.778,0.72,0.873,0.889,NA,1.944,1.294,1.952,1.119,0.826,0.714,2.103,1.016,1
1961,0.77,0.849,0.588,0.492,1.032,1.278,0.836,0.928,0.524,0.484,1.397,0.46,1.413,0.644,0.973,2.201,0.81,0.881,0.928,1.508,0.652,0.455,0.524,0.778,0.899,0.477,1.5,2.89,0.836,1.279,0.993,0.847,1.461,2.088,0.658,1.714,1.127,NA,1.564,1.548,1.254,1.746,2.254,2.307,1.357,0.572,0.786,0.699,NA,1.524,1.142,1.651,0.738,0.968,0.611,2.127,1.122,1.651
