TRE_CN,MEASYEAR,Year,RW,DIA_t,DIA_bc
11807271010690,2016,1850,0.05,5.5,3.5433060299999997
11807271010690,2016,1851,0.03,5.5,3.5456682359999996
11807271010690,2016,1852,0.03,5.5,3.5480304419999995
11807271010690,2016,1853,0.03,5.5,3.5503926479999994
11807271010690,2016,1854,0.03,5.5,3.5527548539999994
11807271010690,2016,1855,0.02,5.5,3.5543296579999994
11807271010690,2016,1856,0.02,5.5,3.5559044619999995
11807271010690,2016,1857,0.04,5.5,3.5590540699999997
11807271010690,2016,1858,0.03,5.5,3.5614162759999997
11807271010690,2016,1859,0.03,5.5,3.5637784819999996
11807271010690,2016,1860,0.08,5.5,3.5700776979999995
11807271010690,2016,1861,0.06,5.5,3.5748021099999994
11807271010690,2016,1862,0.03,5.5,3.5771643159999993
11807271010690,2016,1863,0.05,5.5,3.5811013259999993
11807271010690,2016,1864,0.02,5.5,3.5826761299999994
11807271010690,2016,1865,0.06,5.5,3.5874005419999992
11807271010690,2016,1866,0.07,5.5,3.5929123559999994
11807271010690,2016,1867,0.07,5.5,3.5984241699999995
11807271010690,2016,1868,0.04,5.5,3.6015737779999997
11807271010690,2016,1869,0.05,5.5,3.6055107879999997
11807271010690,2016,1870,0.07,5.5,3.611022602
11807271010690,2016,1871,0.07,5.5,3.616534416
11807271010690,2016,1872,0.05,5.5,3.620471426
11807271010690,2016,1873,0.04,5.5,3.623621034
11807271010690,2016,1874,0.06,5.5,3.628345446
11807271010690,2016,1875,0.05,5.5,3.632282456
11807271010690,2016,1876,0.09,5.5,3.639369074
11807271010690,2016,1877,0.06,5.5,3.644093486
11807271010690,2016,1878,0.05,5.5,3.648030496
11807271010690,2016,1879,0.04,5.5,3.6511801040000003
11807271010690,2016,1880,0.09,5.5,3.6582667220000005
11807271010690,2016,1881,0.09,5.5,3.6653533400000007
11807271010690,2016,1882,0.1,5.5,3.6732273600000007
11807271010690,2016,1883,0.1,5.5,3.6811013800000008
11807271010690,2016,1884,0.08,5.5,3.6874005960000007
11807271010690,2016,1885,0.1,5.5,3.6952746160000007
11807271010690,2016,1886,0.09,5.5,3.702361234000001
11807271010690,2016,1887,0.1,5.5,3.710235254000001
11807271010690,2016,1888,0.06,5.5,3.714959666000001
11807271010690,2016,1889,0.05,5.5,3.718896676000001
11807271010690,2016,1890,0.08,5.5,3.725195892000001
11807271010690,2016,1891,0.08,5.5,3.7314951080000007
11807271010690,2016,1892,0.07,5.5,3.737006922000001
11807271010690,2016,1893,0.08,5.5,3.743306138000001
11807271010690,2016,1894,0.09,5.5,3.750392756000001
11807271010690,2016,1895,0.07,5.5,3.755904570000001
11807271010690,2016,1896,0.08,5.5,3.762203786000001
11807271010690,2016,1897,0.08,5.5,3.768503002000001
11807271010690,2016,1898,0.1,5.5,3.776377022000001
11807271010690,2016,1899,0.07,5.5,3.781888836000001
11807271010690,2016,1900,0.12,5.5,3.7913376600000013
11807271010690,2016,1901,0.08,5.5,3.797636876000001
11807271010690,2016,1902,0.1,5.5,3.8055108960000013
11807271010690,2016,1903,0.07,5.5,3.8110227100000014
11807271010690,2016,1904,0.09,5.5,3.8181093280000016
11807271010690,2016,1905,0.08,5.5,3.8244085440000015
11807271010690,2016,1906,0.09,5.5,3.8314951620000017
11807271010690,2016,1907,0.11,5.5,3.8401565840000016
