TRE_CN,MEASYEAR,Year,RW,DIA
23T469,2023,1966,0.52,6.3
23T469,2023,1967,0.46,6.3
23T469,2023,1968,0.59,6.3
23T469,2023,1969,0.51,6.3
23T469,2023,1970,0.49,6.3
23T469,2023,1971,0.63,6.3
23T469,2023,1972,0.41,6.3
23T469,2023,1973,0.18,6.3
23T469,2023,1974,0.44,6.3
23T469,2023,1975,0.06,6.3
23T469,2023,1976,0.2,6.3
23T469,2023,1977,0.07,6.3
23T469,2023,1978,0.06,6.3
23T469,2023,1979,0.07,6.3
23T469,2023,1980,0.07,6.3
23T469,2023,1981,0.08,6.3
23T469,2023,1982,0.11,6.3
23T469,2023,1983,0.09,6.3
23T469,2023,1984,0.06,6.3
23T469,2023,1985,0.06,6.3
23T469,2023,1986,0.14,6.3
23T469,2023,1987,0.14,6.3
23T469,2023,1988,0.15,6.3
23T469,2023,1989,0.11,6.3
23T469,2023,1990,0.15,6.3
23T469,2023,1991,0.14,6.3
23T469,2023,1992,0.16,6.3
23T469,2023,1993,0.14,6.3
23T469,2023,1994,0.25,6.3
23T469,2023,1995,0.22,6.3
23T469,2023,1996,0.17,6.3
23T469,2023,1997,0.14,6.3
23T469,2023,1998,0.2,6.3
23T469,2023,1999,0.2,6.3
23T469,2023,2000,0.25,6.3
23T469,2023,2001,0.19,6.3
23T469,2023,2002,0.2,6.3
23T469,2023,2003,0.32,6.3
23T469,2023,2004,0.25,6.3
23T469,2023,2005,0.24,6.3
23T469,2023,2006,0.47,6.3
23T469,2023,2007,0.26,6.3
23T469,2023,2008,0.31,6.3
23T469,2023,2009,0.42,6.3
23T469,2023,2010,0.4,6.3
23T469,2023,2011,0.61,6.3
23T469,2023,2012,0.74,6.3
23T469,2023,2013,0.53,6.3
23T469,2023,2014,0.8,6.3
23T469,2023,2015,1.08,6.3
23T469,2023,2016,1.25,6.3
23T469,2023,2017,1.13,6.3
23T469,2023,2018,0.94,6.3
23T469,2023,2019,0.99,6.3
23T469,2023,2020,1.19,6.3
23T469,2023,2021,1.11,6.3
23T469,2023,2022,1.23,6.3
23T470,2023,1836,0.31,3.9
23T470,2023,1837,0.19,3.9
23T470,2023,1838,0.17,3.9
23T470,2023,1839,0.11,3.9
23T470,2023,1840,0.17,3.9
23T470,2023,1841,0.17,3.9
23T470,2023,1842,0.18,3.9
23T470,2023,1843,0.17,3.9
23T470,2023,1844,0.15,3.9
23T470,2023,1845,0.17,3.9
23T470,2023,1846,0.2,3.9
23T470,2023,1847,0.28,3.9
23T470,2023,1848,0.29,3.9
23T470,2023,1849,0.44,3.9
23T470,2023,1850,0.46,3.9
23T470,2023,1851,0.44,3.9
23T470,2023,1852,0.48,3.9
23T470,2023,1853,0.54,3.9
23T470,2023,1854,0.34,3.9
23T470,2023,1855,0.31,3.9
23T470,2023,1856,0.31,3.9
23T470,2023,1857,0.46,3.9
23T470,2023,1858,0.55,3.9
23T470,2023,1859,0.66,3.9
23T470,2023,1860,0.51,3.9
23T470,2023,1861,0.43,3.9
23T470,2023,1862,0.29,3.9
23T470,2023,1863,0.09,3.9
23T470,2023,1864,0.07,3.9
23T470,2023,1865,0.12,3.9
23T470,2023,1866,0.07,3.9
23T470,2023,1867,0.07,3.9
23T470,2023,1868,0.07,3.9
23T470,2023,1869,0.08,3.9
23T470,2023,1870,0.12,3.9
23T470,2023,1871,0.17,3.9
23T470,2023,1872,0.14,3.9
23T470,2023,1873,0.16,3.9
23T470,2023,1874,0.15,3.9
23T470,2023,1875,0.14,3.9
23T470,2023,1876,0.15,3.9
23T470,2023,1877,0.14,3.9
23T470,2023,1878,0.18,3.9
23T470,2023,1879,0.18,3.9
23T470,2023,1880,0.16,3.9
23T470,2023,1881,0.16,3.9
23T470,2023,1882,0.11,3.9
23T470,2023,1883,0.12,3.9
23T470,2023,1884,0.22,3.9
23T470,2023,1885,0.2,3.9
23T470,2023,1886,0.22,3.9
23T470,2023,1887,0.15,3.9
23T470,2023,1888,0.18,3.9
23T470,2023,1889,0.23,3.9
23T470,2023,1890,0.17,3.9
23T470,2023,1891,0.35,3.9
23T470,2023,1892,0.33,3.9
23T470,2023,1893,0.14,3.9
23T470,2023,1894,0.16,3.9
23T470,2023,1895,0.16,3.9
23T470,2023,1896,0.15,3.9
23T470,2023,1897,0.18,3.9
23T470,2023,1898,0.25,3.9
23T470,2023,1899,0.13,3.9
23T470,2023,1900,0.18,3.9
23T470,2023,1901,0.2,3.9
23T470,2023,1902,0.2,3.9
23T470,2023,1903,0.19,3.9
23T470,2023,1904,0.2,3.9
23T470,2023,1905,0.16,3.9
23T470,2023,1906,0.12,3.9
23T470,2023,1907,0.16,3.9
23T470,2023,1908,0.16,3.9
23T470,2023,1909,0.18,3.9
23T470,2023,1910,0.18,3.9
23T470,2023,1911,0.21,3.9
23T470,2023,1912,0.24,3.9
23T470,2023,1913,0.26,3.9
23T470,2023,1914,0.17,3.9
23T470,2023,1915,0.15,3.9
23T470,2023,1916,0.17,3.9
23T470,2023,1917,0.15,3.9
23T470,2023,1918,0.12,3.9
23T470,2023,1919,0.11,3.9
23T470,2023,1920,0.12,3.9
23T470,2023,1921,0.13,3.9
23T470,2023,1922,0.15,3.9
23T470,2023,1923,0.14,3.9
23T470,2023,1924,0.14,3.9
