TRE_CN,Year,RW,MEASYEAR,DIA
2872771010690,1889,2.4,1994,15.6
2872771010690,1890,1.99,1994,15.6
2872771010690,1891,2.62,1994,15.6
2872771010690,1892,2.55,1994,15.6
2872771010690,1893,1.98,1994,15.6
2872771010690,1894,2.78,1994,15.6
2872771010690,1895,2.72,1994,15.6
2872771010690,1896,2.48,1994,15.6
2872771010690,1897,3.07,1994,15.6
2872771010690,1898,2.98,1994,15.6
2872771010690,1899,1.93,1994,15.6
2872771010690,1900,1.68,1994,15.6
2872771010690,1901,2.27,1994,15.6
2872771010690,1902,2.19,1994,15.6
2872771010690,1903,2.51,1994,15.6
2872771010690,1904,2,1994,15.6
2872771010690,1905,1.61,1994,15.6
2872771010690,1906,1.82,1994,15.6
2872771010690,1907,1.68,1994,15.6
2872771010690,1908,2.16,1994,15.6
2872771010690,1909,2.32,1994,15.6
2872771010690,1910,2.27,1994,15.6
2872771010690,1911,2.55,1994,15.6
2872771010690,1912,2.11,1994,15.6
2872771010690,1913,1.99,1994,15.6
2872771010690,1914,1.76,1994,15.6
2872771010690,1915,1.47,1994,15.6
2872771010690,1916,1.39,1994,15.6
2872771010690,1917,2,1994,15.6
2872771010690,1918,1.37,1994,15.6
2872771010690,1919,1.58,1994,15.6
2872771010690,1920,1.19,1994,15.6
2872771010690,1921,1.42,1994,15.6
2872771010690,1922,1.65,1994,15.6
2872771010690,1923,1.32,1994,15.6
2872771010690,1924,1.22,1994,15.6
2872771010690,1925,1.06,1994,15.6
2872771010690,1926,1.13,1994,15.6
2872771010690,1927,0.88,1994,15.6
2872771010690,1928,1.15,1994,15.6
2872771010690,1929,0.94,1994,15.6
2872771010690,1930,1.09,1994,15.6
2872771010690,1931,1.05,1994,15.6
2872771010690,1932,1.17,1994,15.6
2872771010690,1933,1.24,1994,15.6
2872771010690,1934,0.99,1994,15.6
2872771010690,1935,0.8,1994,15.6
2872771010690,1936,0.87,1994,15.6
2872771010690,1937,1.18,1994,15.6
2872771010690,1938,1.12,1994,15.6
2872771010690,1939,1.09,1994,15.6
2872771010690,1940,1.09,1994,15.6
2872771010690,1941,1.04,1994,15.6
2872771010690,1942,1.06,1994,15.6
2872771010690,1943,0.61,1994,15.6
2872771010690,1944,0.72,1994,15.6
2872771010690,1945,0.7,1994,15.6
2872771010690,1946,0.79,1994,15.6
2872771010690,1947,0.9,1994,15.6
2872771010690,1948,0.92,1994,15.6
2872771010690,1949,0.74,1994,15.6
2872771010690,1950,0.82,1994,15.6
2872771010690,1951,0.76,1994,15.6
2872771010690,1952,1.01,1994,15.6
2872771010690,1953,0.97,1994,15.6
2872771010690,1954,0.81,1994,15.6
2872771010690,1955,0.85,1994,15.6
2872771010690,1956,0.86,1994,15.6
2872771010690,1957,0.76,1994,15.6
2872771010690,1958,1.01,1994,15.6
2872771010690,1959,0.58,1994,15.6
2872771010690,1960,0.68,1994,15.6
2872771010690,1961,0.67,1994,15.6
2872771010690,1962,0.68,1994,15.6
2872771010690,1963,0.75,1994,15.6
2872771010690,1964,0.93,1994,15.6
2872771010690,1965,1.03,1994,15.6
2872771010690,1966,1.03,1994,15.6
2872771010690,1967,0.76,1994,15.6
2872771010690,1968,1.04,1994,15.6
2872771010690,1969,1.33,1994,15.6
2872771010690,1970,1.02,1994,15.6
2872771010690,1971,0.84,1994,15.6
2872771010690,1972,1.04,1994,15.6
2872771010690,1973,1.2,1994,15.6
2872771010690,1974,0.74,1994,15.6
2872771010690,1975,0.84,1994,15.6
2872771010690,1976,0.75,1994,15.6
2872771010690,1977,0.44,1994,15.6
2872771010690,1978,0.68,1994,15.6
2872771010690,1979,0.82,1994,15.6
2872771010690,1980,0.69,1994,15.6
2872771010690,1981,0.73,1994,15.6
2872771010690,1982,0.65,1994,15.6
2872771010690,1983,1.08,1994,15.6
2872771010690,1984,1.02,1994,15.6
2872771010690,1985,1.39,1994,15.6
2872771010690,1986,1.32,1994,15.6
2872771010690,1987,1.03,1994,15.6
2872771010690,1988,1.06,1994,15.6
2872771010690,1989,0.85,1994,15.6
2872771010690,1990,0.66,1994,15.6
2872771010690,1991,0.67,1994,15.6
2872771010690,1992,0.83,1994,15.6
2872771010690,1993,1.04,1994,15.6
2872771010690,1994,0.5,1994,15.6
2872979010690,1943,1.05,1994,11.3
2872979010690,1944,0.97,1994,11.3
2872979010690,1945,0.93,1994,11.3
2872979010690,1946,1.02,1994,11.3
2872979010690,1947,2.1,1994,11.3
2872979010690,1948,1.86,1994,11.3
2872979010690,1949,1.51,1994,11.3
2872979010690,1950,1.29,1994,11.3
2872979010690,1951,1.45,1994,11.3
2872979010690,1952,1.45,1994,11.3
2872979010690,1953,1.57,1994,11.3
2872979010690,1954,1.89,1994,11.3
2872979010690,1955,1.62,1994,11.3
2872979010690,1956,2.09,1994,11.3
2872979010690,1957,1.65,1994,11.3
2872979010690,1958,1.3,1994,11.3
2872979010690,1959,1.54,1994,11.3
2872979010690,1960,1.84,1994,11.3
2872979010690,1961,2.27,1994,11.3
2872979010690,1962,1.76,1994,11.3
2872979010690,1963,2.4,1994,11.3
2872979010690,1964,2.62,1994,11.3
2872979010690,1965,2.46,1994,11.3
2872979010690,1966,3.41,1994,11.3
2872979010690,1967,2.75,1994,11.3
2872979010690,1968,1.7,1994,11.3
2872979010690,1969,2.31,1994,11.3
2872979010690,1970,2.05,1994,11.3
2872979010690,1971,1.39,1994,11.3
2872979010690,1972,1.76,1994,11.3
2872979010690,1973,1.74,1994,11.3
2872979010690,1974,1.54,1994,11.3
2872979010690,1975,1.75,1994,11.3
2872979010690,1976,1.63,1994,11.3
2872979010690,1977,1.54,1994,11.3
2872979010690,1978,1.46,1994,11.3
2872979010690,1979,1.31,1994,11.3
2872979010690,1980,1.26,1994,11.3
2872979010690,1981,2.21,1994,11.3
2872979010690,1982,2.15,1994,11.3
2872979010690,1983,2.09,1994,11.3
2872979010690,1984,2.6,1994,11.3
2872979010690,1985,2.98,1994,11.3
2872979010690,1986,3.98,1994,11.3
2872979010690,1987,2.61,1994,11.3
2872979010690,1988,3.07,1994,11.3
2872979010690,1989,2.86,1994,11.3
2872979010690,1990,2.75,1994,11.3
2872979010690,1991,3.21,1994,11.3
2872979010690,1992,3.3,1994,11.3
2872979010690,1993,2.75,1994,11.3
2872979010690,1994,3.19,1994,11.3
2873032010690,1881,2.15,1994,19.7
2873032010690,1882,2.45,1994,19.7
2873032010690,1883,2.84,1994,19.7
2873032010690,1884,2.95,1994,19.7
2873032010690,1885,2.64,1994,19.7
2873032010690,1886,2.62,1994,19.7
2873032010690,1887,3.43,1994,19.7
2873032010690,1888,3.37,1994,19.7
2873032010690,1889,2.82,1994,19.7
2873032010690,1890,3.26,1994,19.7
2873032010690,1891,4.84,1994,19.7
2873032010690,1892,4.3,1994,19.7
2873032010690,1893,2.18,1994,19.7
2873032010690,1894,3.84,1994,19.7
2873032010690,1895,3.49,1994,19.7
2873032010690,1896,3.13,1994,19.7
2873032010690,1897,3.32,1994,19.7
2873032010690,1898,4.14,1994,19.7
2873032010690,1899,1.92,1994,19.7
2873032010690,1900,2.07,1994,19.7
2873032010690,1901,1.43,1994,19.7
2873032010690,1902,0.85,1994,19.7
2873032010690,1903,1.2,1994,19.7
2873032010690,1904,1.61,1994,19.7
